billboard_year,song_id,name,artist,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2020,0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,11/29/2019,26,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4
2020,21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,9/6/2019,92,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
2020,21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,9/6/2019,92,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
2020,0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,12/6/2019,92,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,4
2020,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,10/31/2019,88,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,4
2020,7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),DaBaby,4/17/2020,94,0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,181733,4
2020,3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles,12/13/2019,89,0.676,0.771,8,-3.675,1,0.0483,0.0237,7.00E-06,0.102,0.569,99.048,207133,4
2020,5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Future,1/10/2020,87,0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037,237735,4
2020,2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,9/20/2019,91,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4
2020,7yFhA2fUsL2oIMWlw5DaHQ,The Bones,Maren Morris,3/8/2019,79,0.612,0.57,11,-6.642,0,0.0347,0.278,0,0.0963,0.334,77.002,197293,4
2020,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,5/17/2019,93,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
2020,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,5/17/2019,93,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
2020,3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,11/7/2019,89,0.787,0.673,11,-4.577,0,0.158,0.256,3.57E-06,0.0904,0.786,110.962,237893,4
2020,5cYFwgA5dHoqR3xGnlr9ew,I Hope (feat. Charlie Puth),Gabby Barrett,6/19/2020,75,0.554,0.576,6,-6.495,1,0.0399,0.171,0,0.159,0.409,74.942,209763,4
2020,2MbdDtCv5LUVjYy9RuGTgC,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,6/24/2020,88,0.904,0.723,11,-5.224,0,0.26,0.0631,0,0.185,0.835,145.013,227478,4
2020,1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Tones And I,5/10/2019,73,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
2020,55CHeLEfn5iJ0IIkgaa4si,Savage,Megan Thee Stallion,3/6/2020,82,0.843,0.741,11,-5.609,1,0.334,0.0252,0,0.096,0.68,168.983,155497,4
2020,696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,10/10/2019,89,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,5
2020,4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),Justin Bieber,2/14/2020,85,0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986,212867,4
2020,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,11/13/2019,89,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
2020,24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,SAINt JHN,10/9/2019,92,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840,4
2020,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,12/13/2019,94,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000,4
2020,2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Lewis Capaldi,11/22/2019,88,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,215107,4
2020,4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,10/5/2018,88,0.785,0.431,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.085,159382,4
2020,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,10/4/2019,87,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,167693,4
