Year,playlist_id
2020,1WBljFutuk7uLQtfqfmjWV
2019,6sxay2eKIKLxHCuytNSohv
2018,6J4j6rDdlbUD021gMr06Sl
2017,2XPEN88QyrPQ9zGqS8uS2x
2016,3JbWD8OGutoTKUbR3RvR8u
2015,6LYxiUgw87zsDPqU0sdalZ
2014,2trgZsxRpWX7sq28yHC40u
2013,1KK0RvFmgsUkZ8zELRZgjS
2012,6ERBbbhAninxZrDNNwFAYD
2011,3u4SaRnMOX331SRR092bUH
2010,4aUY170nZ3mhkzMpTAXDv2
2009,7FnOEoPb0biPkxYYAoXO8Q
2008,5m6GS4279YRRwJGE0Nvyym
2007,0D8RVLZQJKbt1txw7fXCoA
2006,66mYasw3316isCX9By4fB2
2005,2rhHjdKlY3H8rBjzon2jHJ
2004,7AsoYX56KIyc3AV0m2x5ah
2003,4XE9yBVaxiYQEndL0JSjdy
2002,0sskOdxAgCYwMrf3Z1UvII
2001,1uoHvDD6ebjvmH02GtmdT9
2000,6oMuzOETMnkHjrApJIboQl
1999,0PUsNFTICyZCfjq3hSdu5e
1998,4i2FDUHrrA07drTNKJdxNv
1997,1vDDTbpvqvIXKllfOxj3SS
1996,6RNMWzoio3B84N3Mran4Qn
1995,2LqGCne1wVR6msnxGr4Jrk
1994,43VQSYjiI0UYO7ZvmTlHnv
1993,6Zlo1IOXhySmOAmErsshgz
1992,7t08B0wtgiAlDSHeEPIyCE
1991,2mDS1REaFehus7kuHeJrRK
1990,21GlSBadDiicriGeRcuAlH
1989,5IgPabzZIXORKLDCFIhCSA
1988,1LCUqaG3ZbFnpJweV1lrj1
1987,3fniVM8pbMq8jcR23aVIY8
1986,4rhgAIno9OiopUzNhOZDbc
1985,7fGtXiE8qbQzqEisHw5CLS
1984,1PGfIx39B5FnyHa1B9zEST
1983,7GN1ulgzXBWpn5VADARkNd
1982,1bk6tO6d5oes6n0vhACi5x
1981,5wbHH4DqF4AVuGmjXI8kcW
1980,7DCh6mOvaEGMVph25k7hyN
1979,6bHjBCFN8Lqj0K54RWFci8
1978,3mt2ysylQQ2cccDPyGfKID
1977,4o5cek3OBzJGYfnCBDpf6f
1976,6StoAH35GDVgMzNldxnZTA
1975,0gbg9URi8NekuofjdERwa7
1974,69dtPFfkYa5URry1zo665z
1973,0H3MpEFBNTXwPzPqz8yj6V
1972,1gmC5APqI5peL6IL0qmDtL
1971,6UjGPCgJRq9Bf9RB4yZdlS
1970,6yY9W80caWJcRtIxyB59ds
1969,0v2zM0onlvVRxkZHb6X7Gn
1968,0e5RJriS3VSTczUj3MS6UT
1967,4psfKgay4XSVfFeg1hrqAy
1966,15W6GH9JuCbX3p7b1ARyEj
1965,1d2iK1FgjIpU6S4lDTtb40
1964,0LzQCtyGyaxOy7EYJa5ftD
1963,6D9AREvr54KrlddMk8ddjY
1962,7xGRnRpc6ZxM6BfzruhWtl
1961,7KBmUXAbgCQYbpU10tMeEE
1960,0nfHJsAnubkIUXrazaqHL9
