id,name,artists,danceability,duration_ms,energy,acousticness,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
0z4ZkIPi5VXJksMtd18seX,We Will Rock You,['Queen'],0.681,122107,0.414,0.507,0,11,0.173,-8.77,0,55,0.0835,81.479,0.557,1981
1ci5FGk5faD2gWyYl995yw,Mercedes Boy,['Pebbles'],0.795,295893,0.333,0.052,0.0295,8,0.319,-14.609,1,42,0.0769,114.764,0.967,1987
5U6t23NngyWpGG8vNe3mkz,Ankhon Men Ansuon Ko Piye Ja Rahi,['Shamshad Begum'],0.395,198507,0.188,0.991,0.00368,5,0.321,-10.745,0,0,0.142,74.874,0.457,1947
24cU2htSCxpp2JOkeb2AfB,World Of The Rich And Famous,['Matthew Wilder'],0.833,283160,0.528,0.412,5.63E-06,2,0.13,-12.297,1,30,0.0821,119.802,0.824,1983
0VtW9kU97Le5SQ0ml4nFzO,The Creator Has A Master Plan,['Pharoah Sanders'],0.28,1967400,0.78,0.249,6.06E-05,3,0.254,-9.031,1,25,0.0732,107.655,0.655,1969
7fbjq1Dh5aDrGe3LIR566P,"24 Préludes, Op. 28: No. 8 in F-Sharp Minor. Molto agitato","['Frédéric Chopin', 'Robert Lortat']",0.18,106987,0.269,0.995,0.937,6,0.098,-19.08,0,0,0.0397,75.293,0.0578,1931
0bX2oVRMj3YK9Jv9QgW4UP,Rigoletto: Act III: V'ho ingannato,"['Giuseppe Verdi', 'Arturo Toscanini']",0.301,78200,0.0538,0.972,1.49E-05,8,0.192,-23.744,0,0,0.0738,164.624,0.137,1954
1Pm0IxpzPNGF9O6fvYyP2q,Bartender's Blues,['James Taylor'],0.623,251960,0.24,0.509,1.10E-05,10,0.131,-13.425,1,31,0.0265,84.006,0.49,1977
6iie264sjna1RKMOFXhTiS,Ghata Ghan Ghor,['Khurshid Bano'],0.454,198455,0.222,0.994,0.941,5,0.161,-14.438,0,0,0.161,215.771,0.626,1943
1aVzI1rJEbaCiERbV3yA0K,Εσείς βουνά μου πράσινα,['Μιχάλης Καλέργης'],0.374,95495,0.269,0.97,0.00129,0,0.301,-12.223,1,0,0.0818,78.233,0.316,1948
1XIzx6Z6XtYrsRiQhVUA4Z,Appalachian Spring: III. Moderato,"['Aaron Copland', 'New York Philharmonic', 'Leonard Bernstein']",0.0961,231800,0.00745,0.953,0.277,6,0.136,-31.657,1,9,0.0449,67.096,0.034,1962
0aKXOxKEwvlFzZwqqE0yzF,"Sonata For Viola Da Gamba And Harpsichord No.2 In D, BWV 1028: 1. Adagio","['Johann Sebastian Bach', 'Mischa Maisky', 'Martha Argerich']",0.266,145573,0.0389,0.98,0.922,2,0.142,-26.999,1,28,0.0364,64.018,0.215,1985
0IED9neCTKKGQZen8YF8OR,Sochta Kya Hai,"['Hameeda Bano', 'Mukesh']",0.44,169253,0.229,0.987,0.907,11,0.166,-13.887,1,0,0.0447,128.582,0.533,1948
1ZVV4uUYilEdZRySfKjvpx,Every Day I Have the Blues,"['Joe Williams', 'Count Basie']",0.653,283227,0.4,0.768,1.56E-06,10,0.272,-9.105,0,32,0.053,119.817,0.561,1959
0bcTAWSpFuavOFHs9ZO6wl,Divina Tentacion,['Orquesta Estrellas Cubanas'],0.597,202733,0.327,0.686,3.70E-06,0,0.0683,-12.058,1,0,0.0413,133.149,0.889,1954
6sIMSl1n3KDPr03Fw8mujd,Next Lifetime,['Erykah Badu'],0.643,386627,0.413,0.129,0.00105,8,0.0949,-11.929,0,60,0.0565,130.026,0.339,1997
20jwmVY9TLNj9Yl8VbKuCh,We Are the Dead - 2016 Remaster,['David Bowie'],0.373,301773,0.279,0.76,1.51E-06,5,0.103,-16.957,1,38,0.0413,138.547,0.287,1974
0I49tXyAynU0nvLsbxuHby,Don't Hurt My Little Sister - Remastered,['The Beach Boys'],0.63,129227,0.753,0.772,0.000223,10,0.226,-6.507,1,23,0.0305,141.216,0.904,1965
4p4YQI26vNz0rgvFFQiDn3,Abhi Jao Bajariya Se Lao Saiyan,"['Anima Ghosh', 'Dwijen Chowdhury']",0.549,179699,0.195,0.991,2.37E-06,2,0.126,-8.796,1,0,0.238,81.327,0.804,1947
2Q3QRjA8MjzqpFaIkFludb,right here,['keshi'],0.597,195093,0.496,0.0839,0,5,0.117,-9.441,1,70,0.077,160.05,0.319,2020
1B7LH1eBudymShtn88qoEt,Cold Blood,['Kix'],0.581,257933,0.686,0.00147,5.97E-06,6,0.347,-14.353,1,47,0.0279,141.034,0.859,1988
0Ofnn1GU0F4ZR3AnAt3MTc,Livin' In the 80's,['Zero Boys'],0.211,130547,0.972,0.00618,0.57,0,0.829,-1.475,1,24,0.0854,183.083,0.654,1981
2of5gKZdb2dw3IeJCTd1qi,Imagination,['Art Pepper'],0.651,355547,0.164,0.709,0.00989,5,0.117,-14.785,0,29,0.0558,108.689,0.362,1957
5Lrs3rKUSccTFLVXLO7oom,Who'll Stop The Rain - Live,['Creedence Clearwater Revival'],0.403,151627,0.907,0.000177,0.021,7,0.952,-7.018,1,29,0.0336,128.112,0.486,1980
74HgOVhTKdjQ1viBzUmg9s,Trouble You A Trouble Me,['Ini Kamoze'],0.818,286347,0.705,0.188,0.00791,1,0.1,-7.685,1,34,0.141,147.318,0.458,1984
5NlJV2fGs1PplcmJT0ZWln,"Goldberg Variations, BWV 988: Variation 6. Canone alla Seconda. a 1 Clav. - 1955 Version","['Johann Sebastian Bach', 'Glenn Gould']",0.194,34573,0.146,0.987,0.894,7,0.137,-27.875,1,9,0.05,69.698,0.655,1956
3AJ8EYzoSF20o1WVkvWjz4,When Am I Going to Make a Living,['Sade'],0.693,205973,0.652,0.471,0,9,0.0922,-6.524,1,50,0.0288,94.322,0.83,1984
17VoLVTBfbYODoW6QQo2MF,Overture,['Orchestra'],0.299,239200,0.339,0.39,0.537,8,0.15,-13.802,1,19,0.0331,112.073,0.348,1968
3tiHZqBb3M6P1G1QREASeQ,Try Jah Love,['Third World'],0.761,409933,0.581,0.0952,0,1,0.14,-13.548,0,43,0.0386,111.808,0.891,1993
7nOhijGWNbwBpzmQ6XqLRG,Roxie,['Renée Zellweger'],0.514,200293,0.403,0.481,0,5,0.11,-9.377,0,49,0.0429,132.683,0.464,2002
1JRxwtHvO1ubL7WiYZsW0Z,Kiti Ga Bai Khatyal,['Lata Mangeshkar'],0.788,176227,0.112,0.994,0.752,1,0.253,-15.546,0,0,0.14,134.161,0.77,1949
4ajq3etAnVnT7N7oR0In0Y,Afino Gia Stis Omorfes,['Dimitris Arapakis'],0.446,177080,0.401,0.945,2.14E-06,10,0.532,-7.079,1,0,0.0449,136.901,0.352,1940
51VkP47qhzH6GZ7X4OSG04,Take a Little Bit,['Eddie Money'],0.547,203133,0.718,0.0295,0.000216,1,0.0451,-12.336,0,27,0.0442,148.606,0.762,1983
1lIcdDpGlc2mO2LYA0f5KM,"The Fellowship Reunited (feat. Sir James Galway, Viggo Mortensen and Renée Fleming)",['Howard Shore'],0.137,738080,0.0625,0.941,0.926,2,0.277,-22.77,1,53,0.04,87.682,0.0365,2003
4QVhiTlYs19G1as6cGK7oQ,Se Perdío El Pescador,['Benjamin Caussor'],0.745,151301,0.723,0.237,2.43E-05,7,0.313,-7.951,1,26,0.0488,115.731,0.973,1974
4uQ8h0F0AShbx7MyaqMEBa,Rose,['James Horner'],0.147,172520,0.0393,0.86,0.944,5,0.131,-24.563,1,40,0.0387,138.478,0.0386,1997
1jn1tS8R58gpxfgGNyRQph,Desire Be Desire Go,['Tame Impala'],0.398,266160,0.848,0.0743,0.0065,1,0.173,-4.987,1,49,0.0579,150.962,0.411,2010
1JfOcjDfWMdhJhQVTY5zc8,"Don Quixote, Op. 35 - Fantastic Variations on a Theme of Knightly Character: Variation IV (The Adventure with the Penitents)","['Richard Strauss', 'Arturo Toscanini']",0.325,119000,0.0244,0.885,0.0366,0,0.14,-25.104,0,0,0.0361,138.264,0.255,1953
2ICY6t4FTWPqM0CobYBx3M,Out Of This World,['John Coltrane Quartet'],0.365,842040,0.685,0.803,3.42E-05,10,0.233,-7.928,0,22,0.0479,93.018,0.515,1962
2jLDRXGpa9yJ9fuhySSV8P,2020 Riots: How Many Times,['Trey Songz'],0.546,204941,0.608,0.0567,0,1,0.0664,-6.261,1,59,0.209,98.036,0.37,2020
3JBB92odunFru2gOvI91x9,Don't Wanna Be Your Girl,['Wet'],0.62,174093,0.193,0.638,0.0136,0,0.107,-13.404,1,58,0.0439,129.979,0.155,2014
3Q4Cf584F8F0sa1v0CIuho,"Chopin: Nocturne No. 8 in D-Flat Major, Op. 27 No. 2","['Frédéric Chopin', 'Arthur Rubinstein']",0.366,378827,0.0279,0.989,0.886,1,0.0806,-23.36,1,15,0.0373,95.356,0.1,1928
5I0u5YHYvA6fQZstVCFwqC,Dile A Tu Amiga,"['Ñejo', 'Dalmata']",0.788,214747,0.674,0.281,0.033,2,0.0892,-8.392,1,60,0.0537,94.997,0.864,2012
1M8XiKte4skpdbNYHwjLpB,Prema Yatralaku,"['Ghantasala', 'P. Susheela']",0.641,202920,0.405,0.981,0.000219,6,0.337,-14.456,1,8,0.0975,143.167,0.773,1962
3GRLxjCJ8WqAZHsHvDz19Y,400 Years - Outtake,['Peter Tosh'],0.787,265093,0.446,0.274,8.46E-06,7,0.127,-11.634,0,26,0.121,138.119,0.836,1977
3cQGb2POE359G9WH81bF60,I'LL BE GONE,['Linkin Park'],0.501,211093,0.927,0.00686,0,7,0.131,-4.58,1,54,0.0292,139.961,0.611,2012
3TS1yc3vVr9773A1GxYOTa,Train of Love,['Johnny Cash'],0.847,141919,0.469,0.785,0.000148,10,0.109,-10.018,0,7,0.076,102.337,0.755,1956
5FKWjv7mQCMICmDTvws8QG,Nelly - Remasterizado,['Ignacio Corsini'],0.595,144107,0.21,0.991,1.29E-05,10,0.131,-16.011,1,0,0.0626,89.175,0.799,1928
1ovcNC9b3bnQOOLpAisZ7C,Dreams,['Buddy Miles'],0.693,291427,0.498,0.0468,0.0038,2,0.116,-10.003,1,34,0.0341,97.869,0.378,1970
07M76e7IXxYdnC1BBiJxEX,All The Man That I Need,['Whitney Houston'],0.496,251427,0.571,0.43,0,5,0.0332,-9.958,0,53,0.0335,150.944,0.25,1990
092xRQNcc0TXJQfAfK7XUl,The Moment I Saw You (Carroll Gibbons; The Savoy Hotel Orpheans),"['Carroll Gibbons', 'The Savoy Hotel Orpheans']",0.479,186280,0.0711,0.992,0.0708,10,0.282,-14.865,1,2,0.0342,123.92,0.148,1945
5UoDfw3Gm8RXqff4wcmbRs,Destined To Win - Commander Sozo Album Version,['DeGarmo & Key'],0.674,203436,0.661,0.531,8.32E-05,4,0.119,-9.351,1,24,0.0318,120.016,0.75,1985
5jZ1Z2GFTf2gwmFc3qiUxs,The Taste of Ink,['The Used'],0.541,208693,0.904,0.00143,0,7,0.193,-3.001,1,64,0.0435,98.122,0.541,2002
5WE7h4BxUue0Erwy2PP1v6,You Wanted to Change Me,['Roy Hamilton'],0.552,143467,0.34,0.845,1.90E-05,10,0.349,-14.763,1,32,0.112,122.476,0.817,1964
2rdlv02jqGJBJDmhJYlG12,Mahaprasthaner Pathe,['Pankaj Mullick'],0.398,1329067,0.452,0.796,1.99E-05,10,0.3,-9.245,1,0,0.0429,108.696,0.45,1952
0i1Z9jlVMVfgb8ktwDy01s,Big City Stripper,['Cory Morrow'],0.637,268800,0.73,0.0359,0.00181,7,0.0845,-4.668,1,37,0.0309,137.058,0.738,1993
0w4m3Xp4svlIoyL94Zjlyd,&Run,['Sir Sly'],0.764,226587,0.661,0.0203,0.000179,5,0.179,-8.276,1,59,0.0526,92.018,0.479,2017
4wVvyDkI2KjSDsTIFKOrUR,"Carnival of the Animals, R. 125: Introduction and Royal March of the Lion","['Camille Saint-Saëns', 'Philippe Entremont', 'Gaby Casadesus', 'Yo-Yo Ma']",0.472,118760,0.207,0.988,0.868,7,0.117,-19.238,1,23,0.0469,90.381,0.258,1961
4JjGOgKuFitoGVNXkgLDQK,Δέσπω Καλαματιανή,['Αντώνης Διαμαντίδης'],0.379,190560,0.315,0.987,0.00305,2,0.369,-9.775,1,0,0.0525,97.433,0.551,1930
6q9pSNKOLC7OqiB5AahwFf,Часть 92.3 - Зеленые холмы Африки,['Эрнест Хемингуэй'],0.792,97400,0.0899,0.331,0,7,0.41,-18.486,1,0,0.947,70.257,0.704,1935
7BXhyXma11NSNQlQDZOgiN,Nassam Alayna El Hawa,['Fairuz'],0.554,243278,0.331,0.435,0,2,0.308,-14.449,1,47,0.0344,128.202,0.418,1967
0DnBHyPGqantymrbaoSoa9,Over the Rainbow,['Aretha Franklin'],0.514,157720,0.0677,0.917,6.20E-06,7,0.0789,-14.094,1,25,0.0448,113.365,0.268,1961
0XNhWDkngjhzbfOSPSlf15,Amar E Basar Sajya,['Jaganmoy Mitra'],0.554,175947,0.22,0.995,0.865,9,0.236,-17.953,1,0,0.0459,119.55,0.62,1946
3IkvKTMcwwksqQtIMhhAtj,Swansea Town,"['Traditional', 'Robert Shaw']",0.318,180227,0.192,0.994,3.31E-06,2,0.119,-20.172,1,9,0.0568,108.584,0.311,1961
5LsR3sa6PDfXzHgEL56yKy,So Shy,['Jack Jackson & His Orchestra'],0.581,195680,0.201,0.932,0.000118,0,0.598,-17.063,1,0,0.138,140.949,0.684,1934
3TZ4d5jTKcM64VEBh74dCa,"In Walked Bud - Live At The Five Spot / August 7, 1958",['Thelonious Monk Quartet'],0.512,682467,0.274,0.795,0.00242,5,0.554,-18.993,0,15,0.0452,103.147,0.737,1958
2PkTjm1QAJCZbJ9MqC4RqA,11 Y 6,['Fito Paez'],0.72,178267,0.325,0.0755,0,7,0.308,-16.922,1,65,0.0319,101.3,0.318,1985
4irfl7MbuIPJB0OU8mPs88,Leave,['Matchbox Twenty'],0.438,273907,0.56,0.185,0,6,0.2,-7.309,0,37,0.0336,81.22,0.492,2000
03GJyQfnhwq8f4NK5sOxO5,Medley: Summer Love / Set the Mood (Prelude),['Justin Timberlake'],0.454,384133,0.518,0.191,0,0,0.936,-8.396,0,50,0.0936,120.103,0.329,2006
1YrgT6L0cuQMiIUiHNcqiG,Muchachita Misteriosa,['Los Muecas'],0.56,187803,0.377,0.542,0.801,7,0.595,-17.059,1,32,0.0414,94.911,0.861,1972
1qA6x2m6naCdtc73DK24LA,"Concerto for Piano and Orchestra No. 5 in F Minor, BWV 1056: I. Allegro","['Johann Sebastian Bach', 'Glenn Gould', 'Vladimir Golschmann', 'Columbia Symphony Orchestra']",0.292,219253,0.201,0.978,0.886,10,0.238,-20.375,0,16,0.0348,66.27,0.654,1958
1KBJjmL063loexSqWvpvy1,Tu Kaun Si Badli Mein Mere Chand,['Noor Jehan'],0.51,186886,0.14,0.995,0.903,11,0.151,-13.658,1,0,0.0551,177.175,0.608,1942
2ORXFszhtyXn5MwVJcmiK6,Penetration,['The Pyramids'],0.602,123167,0.559,0.198,0.806,2,0.256,-9.69,0,27,0.0367,88.29,0.95,1964
70ehxWu6fw3pgqLuyr5UNK,"Baubles, Bangles And Beads","['Antônio Carlos Jobim', 'Frank Sinatra']",0.472,155040,0.228,0.743,3.38E-05,0,0.108,-17.092,0,22,0.0306,130.747,0.565,1967
7jDZIM59S1utHXZcmYSEYx,A Toast to the future kids!,['Emarosa'],0.334,228987,0.924,0.00444,0,8,0.136,-3.805,0,47,0.276,170.159,0.359,2010
0jhIdfzkHokNPRFKN90TVI,Borracho Y Loco,['Los Huracanes del Norte'],0.496,148413,0.506,0.113,0,7,0.108,-4.054,1,52,0.0712,151.602,0.793,2011
0xTY7Tld4DRxqUhxdw7bZW,Heard It in a Love Song,['The Marshall Tucker Band'],0.555,297973,0.797,0.168,0.00268,2,0.12,-7.484,1,60,0.0389,152.87,0.683,1977
4yQCgQVUIRBUnLdmXtZ0bo,Winter Time,['Steve Miller Band'],0.392,192227,0.389,0.497,0.702,10,0.297,-17.604,0,39,0.0422,103.659,0.251,1977
5f2Cws3OoW324WOINcCGGD,Hold Me - Duet with Whitney Houston,"['Teddy Pendergrass Duet with Whitney Houston', 'BILL SCHNEE']",0.528,362933,0.286,0.4,1.42E-06,2,0.253,-16.512,1,32,0.0289,116.154,0.228,1984
6CVWD0WRqwbR4HsiKHk1j3,Whatsername,['Green Day'],0.813,257213,0.547,0.00104,0.00335,2,0.0914,-5.936,1,56,0.0344,119.998,0.8,2004
5FCPN8g30PRH7lLgxDh9LQ,Big Bang Theory Theme,['Barenaked Ladies'],0.488,105267,0.901,0.0654,0,7,0.359,-3.701,1,52,0.101,161.285,0.827,2011
25DJqc59pCMlLJ82IBZoMS,Sentimental and Melancholy (with Teddy Wilson & His Orchestra),"['Billie Holiday', 'Teddy Wilson']",0.691,157467,0.249,0.928,0.000105,0,0.0885,-13.509,1,13,0.058,101.472,0.702,1933
1t2zYsS4UgIkkuBgSe0fZt,More Than I Can Say,['Bobby Vee'],0.578,149973,0.295,0.792,0,1,0.109,-10.379,1,40,0.0294,101.171,0.603,1961
0M6WEAapro87AUcbxXza5q,Χαϊτιτζέ,['Stella Haskil'],0.676,186027,0.304,0.985,6.62E-05,10,0.128,-8.986,0,0,0.0443,121.988,0.615,1950
2Wxsbxbu9fJjnYair3KwOT,The Bells,"['William Byrd', 'Flor Peeters']",0.143,415093,0.126,0.874,0.935,0,0.163,-10.638,1,0,0.0353,67.321,0.0551,1953
4rmkGgD9JTLewZCw9e94PG,"Das ist bei uns nicht möglich, Kapitel 166","['Sinclair Lewis', 'Frank Arnold']",0.707,308024,0.234,0.591,0,1,0.42,-17.933,0,0,0.952,129.551,0.396,1935
1bz5l5n14c6tmr9Y8jVxQq,Misfits,['The Kinks'],0.542,282027,0.372,0.272,0,7,0.303,-12.185,1,24,0.0279,102.697,0.59,1978
0fsrRvpqr904AdKAPDXFkq,Easy Target,['blink-182'],0.505,140563,0.98,0.01,0.0258,6,0.236,-5.036,0,53,0.0979,159.802,0.395,2003
6EjocpzZjIt7GRIonJ6mcg,"The Parent Trap - From ""The Parent Trap""","['Annette Funicello', 'Tommy Sands']",0.61,137747,0.477,0.704,0,8,0.259,-10.638,1,22,0.0591,139.084,0.828,1961
4kgZoTVXtWLcDgs0M5Coiz,El Dinero Los Cambio,['Fuerza Regida'],0.749,184501,0.73,0.44,3.84E-06,6,0.0968,-3.096,0,68,0.0346,115.438,0.958,2019
6YSrwzBdLvN5RtzYmWsUPx,Brown Eyes,['Lady Gaga'],0.747,243000,0.508,0.126,6.75E-06,10,0.0842,-4.764,1,44,0.0314,125.072,0.595,2008
15OR6rT47ONxJflDqDCAmc,Sama Ke Dil Mein Humare,"['Lata Mangeshkar', 'Talat Mahmood']",0.574,192370,0.268,0.989,0.922,7,0.352,-13.479,0,0,0.116,127.689,0.758,1952
36MfHivNOhTcYYSlLbSXxS,Be Kind to Me,['Bread'],0.647,184267,0.65,0.215,2.37E-05,4,0.222,-12.02,0,30,0.0441,91.996,0.49,1971
54YLtVaiq8TheLo6qQ82KK,Blood & Fire - Out of the Ashes Mix,['Type O Negative'],0.281,276360,0.729,0.062,0.116,2,0.0793,-7.64,1,35,0.0404,130.769,0.244,1993
6om52tevyqVMvl1mWTtKPM,"Everything I Own - 7"" Mix",['Ken Boothe'],0.719,224693,0.435,0.149,0,5,0.261,-9.358,1,51,0.0856,76.67,0.582,1972
0QI38in0PP6LVZSl6NnKaI,Amor Eterno (En Vivo) - En el Palacio de Bellas Artes,['Juan Gabriel'],0.257,428467,0.421,0.162,0,9,0.952,-11.296,1,55,0.0389,199.214,0.53,1990
5Lh9kNx3ipZC5rcaUkzKqo,Salsation,['David Shire'],0.714,230667,0.849,0.642,0.0134,8,0.0486,-9.014,1,37,0.251,118.094,0.259,1977
6IrGjH7yWcjhBc8ck2MnWX,Surfin' Bird - 2002 Remaster,['Ramones'],0.47,155853,0.968,0.0991,0.000742,9,0.152,-5.938,1,33,0.0468,193.345,0.854,1977
72ULmDRsjHRweVjonpnXlB,Across The Great Divide,['The Band'],0.73,173062,0.539,0.419,0.00188,7,0.222,-7.323,1,27,0.0556,110.581,0.636,1969
1QXAHeqkxtK207gzKkwcJ5,C.B. Savage,['Rod Hart'],0.621,209348,0.424,0.523,0,4,0.11,-15.084,1,25,0.246,107.477,0.558,1976
6rEA2GbBkGC9GqOOrBwvza,17 Años - Concierto Sinfónico Cumbia Fuzion,"['Los Angeles Azules', 'Jay de la Cueva']",0.526,336147,0.765,0.00879,0.000463,0,0.967,-4.544,1,51,0.0368,91.035,0.627,2015
2owXQZEmYfwbUXzaliVSpj,When It Rains,['Paramore'],0.655,215093,0.733,0.000819,4.01E-05,8,0.0792,-4.401,1,51,0.0324,116.984,0.569,2007
0Zb5J2EqYWWYOfcazNcudF,Taalea Mn Bait Abooha,['Nazem al-Ghazali'],0.127,194949,0.844,0.971,0.117,1,0.395,-4.751,1,0,0.0703,71.348,0.588,1936
53Lfqp8F0KCInwcFjabMJB,One Man's Dream,['Yanni'],0.363,163200,0.115,0.984,0.975,0,0.135,-20.386,0,57,0.0352,122.598,0.188,1986
0G0WcFr6KdntigieSfbZLF,Hang On to Yourself - Live; Stereo,['David Bowie'],0.194,176592,0.986,0.00183,0.566,2,0.866,-6.658,1,27,0.456,183.613,0.111,1983
1A3Hqv4qJd1RBJMq4au7GS,He Wants It All,['Forever Jones'],0.496,207800,0.28,0.511,0,3,0.098,-11.162,1,46,0.0434,83.97,0.297,2010
6qviDivTUtbGkIpA43sfx1,Rita,['Mistinguett'],0.646,145914,0.376,0.929,0,0,0.165,-13.469,1,0,0.106,78.611,0.874,1929
5bQ1qgqZhpCS9RQCUZaqBO,Subaru Crosstrek XV,['Hobo Johnson'],0.826,154932,0.528,0.0357,0,8,0.605,-8.326,1,61,0.344,99.966,0.539,2019
4DsvUevbmoVFzdntoAqash,Roads to Freedom,['Robin Trower'],0.613,229413,0.435,0.486,0.000414,3,0.0895,-17.193,0,23,0.0357,136.58,0.489,1980
5eodQNbottFFWcN5JmZzqs,Can't We Be Friends,['Sammy Davis Jr.'],0.667,176000,0.26,0.469,0,6,0.317,-11.17,1,7,0.0563,108.48,0.334,1961
6pJSulm9EBmsYGnp3uaEFl,Leave Me Alone - 2012 Remaster,['Michael Jackson'],0.85,280360,0.957,0.393,0.00292,4,0.0764,-3.991,1,45,0.113,123.589,0.609,1987
0K83VVfg5Y4bPoZ4kmytKH,Late Night Drive,['Yo Trane'],0.491,252372,0.375,0.382,0,6,0.103,-10.031,0,57,0.2,97.116,0.19,2016
